// item script
// itemtype,		target,			lang,	math,	art,	move,	stam,	multi,	turn,	pos,	imgfile
ITEM_STAT,		TARGET_ME,		0,	0,	0,	0,	0,	2,	3,	0,
ITEM_STAT,		TARGET_ME,		1,	0,	0,	0,	0,	0,	99,	0,
ITEM_STAT,		TARGET_ME,		0,	1,	0,	0,	0,	0,	99,	0,
ITEM_STAT,		TARGET_ME,		0,	0,	1,	0,	0,	0,	99,	0,
ITEM_STAT,		TARGET_ME,		2,	2,	2,	0,	0,	0,	3,	0,
ITEM_STAT,		TARGET_ME,		2,	2,	2,	0,	0,	0,	5,	0,
ITEM_STAT,		TARGET_OTHER,		-2,	-2,	-2,	0,	0,	0,	3,	0,
ITEM_STAT,		TARGET_OTHER,		-2,	-2,	-2,	0,	0,	0,	2,	0,	
ITEM_STAT,		TARGET_OTHER,		-2,	-2,	-2,	0,	0,	0,	5,	0,
ITEM_STAT,		TARGET_MEOTHER,		-2,	-2,	-2,	0,	0,	0,	2,	0,
ITEM_STAT,		TARGET_MEOTHER		-3,	-3,	-3,	0,	0,	0,	3,	0,
ITEM_STAMINA,		TARGET_OTHER,		0,	0,	0,	0,	-2,	0,	0,	0,
ITEM_STAMINA,		TARGET_OTHER,		0,	0,	0,	0,	-4,	0,	0,	0,
ITEM_STAMINA,		TARGET_ALLEXCEPTME,	0,	0,	0,	0,	-2,	0,	0,	0,
ITEM_STAMINA,		TARGET_ME,		0,	0,	0,	0,	3,	0,	0,	0,
ITEM_TOGETHERCLASS	TARGET_OTHER,		0,	0,	0,	0,	0,	0,	3,	0,
ITEM_NOCLASS,		TARGET_OTHER,		0,	0,	0,	0,	0,	0,	0,	0,
ITEM_MOVESELECT,	TARGET_ME,		0,	0,	0,	0,	0,	0,	0,	0,
ITEM_MOVEPLACE,		TARGET_ME,		0,	0,	0,	0,	0,	0,	0,	109,
ITEM_MOVEPLACE,		TARGET_OTHER,		0,	0,	0,	0,	0,	0,	0,	55,

